greeting	how's everything

greeting	how are things going

greeting	hello, anyone there

greeting	are you okay right now

greeting	are you doing okay

greeting	how's it going right now

greeting	ahoy hoy

greeting	hey there!

greeting	how is everything with you

greeting	hey hey!

greeting	how have you been doing

greeting	it's nice to see you

greeting	hello there!

greeting	how is it going

greeting	how are things with you

greeting	hiya!

greeting	what's up

greeting	how're you doing

greeting	it's good to see you

greeting	is everything going okay

greeting	how is everything going

greeting	how goes it

greeting	hello, ai

greeting	hey, ai

greeting	wake up, ai

greeting	good day

greeting	greetings to you

greeting	hello, friend

greeting	whats up with you

greeting	hey there fellow

greeting	whats up

greeting	yo, hows it going

greeting	how are things for you

greeting	are things going well for you

greeting	how are you doing, ai

greeting	ai how are you doing today

greeting	how are you doing today, ai

greeting	how is my ai doing

greeting	ai how are you doing on this fine day

greeting	heller

greeting	so how is everything

greeting	how are you this day

greeting	hi how are you

greeting	how is everything going for you

greeting	hi how is everything

greeting	well hello

greeting	just wanted to say hi

greeting	how is your day

greeting	why hello

greeting	are you well

greeting	hola

greeting	good to see you

greeting	how've you been feeling

greeting	how are things

greeting	are you doing well

greeting	good evening

greeting	yo

greeting	ai, how are you feeling

greeting	how is the ai doing

greeting	ai, how are you doing

greeting	hi ai

greeting	have you been good

greeting	is everything ok with you

greeting	how have you been

greeting	are you doing ok

greeting	how are you

greeting	how's life

greeting	what's up with you

greeting	what's going on

greeting	how's it going with you

greeting	how's ife treating you

greeting	hello how's it going

greeting	how are you today

greeting	can you tell me how you're doing today

greeting	how are you this fine day

greeting	how are things treating you

greeting	aloha

greeting	are you feeling okay

greeting	how do you feel

greeting	bonjour

greeting	how are things going for you

greeting	what do you feel like doing

greeting	hello, what's up

greeting	hey how's life

greeting	hi there

greeting	hey how's it hanging

greeting	tell me how you've been

greeting	how is life treating you

greeting	hi there, how are things

greeting	hello, how are you

greeting	hey, how's it going

greeting	hello, are you doing alright

greeting	hi! are you doing okay

greeting	what's happening

greeting	hey what's up

greeting	why, hello bandit

greeting	howdy, what's new

greeting	salutations!

who_made_you	who formed you

who_made_you	who constructed you

who_made_you	what's your design company

who_made_you	what company coded you

who_made_you	who fabricated you

who_made_you	what company wrote your code

who_made_you	what company owns your code

who_made_you	who brought you up

who_made_you	who is it that programmed you

who_made_you	whats it like to be programmed

who_made_you	who was the inventor of you

who_made_you	ai was made by whom

who_made_you	tell me the inventor of you

who_made_you	can you tell me who made you

who_made_you	could you let me know who made you

who_made_you	would you let me know who programmed you

who_made_you	provide me the name of who programmed you

who_made_you	i want to know who made you

who_made_you	provide me the name of who made you

who_made_you	i am needing to know who made you

who_made_you	tell me who made you

who_made_you	tell me who programmed you

who_made_you	let me know who made you

who_made_you	i need to know who programmed you

who_made_you	i am wanting to know who programmed you

who_made_you	give me an answer to who made you

who_made_you	i'm needing to know who made you

who_made_you	what's your brand

who_made_you	who created you

who_made_you	who was your creator

who_made_you	who made your algorithms

who_made_you	who manufactured you

who_made_you	what's the name of the company that designed you

who_made_you	who's responsible for your existence

who_made_you	what's the business that caused you to be made

who_made_you	can you remember who compiled you

who_made_you	what company's software engineers gave you life

who_made_you	who are the people responsible for you

who_made_you	who invented you

who_made_you	who designed you

who_made_you	who developed your actions

who_made_you	who supplied your instructions

who_made_you	who formulated you

who_made_you	which company can i credit your design to

who_made_you	by which company are you designed by

who_made_you	to which company is your design accredited to

who_made_you	which company is responsible for your design

who_made_you	what organization created you

who_made_you	who developed your internal code

who_made_you	who created your ai program

who_made_you	who was your inventor

who_made_you	who engineered you

who_made_you	who is this ai's creater

who_made_you	who made this ai

who_made_you	who did the programming for this ai

who_made_you	i would like to know who programmed this ai

who_made_you	you were built by who

who_made_you	what company manufactured you

who_made_you	who were you made by

who_made_you	are you made in the usa

who_made_you	tell me your brand

who_made_you	tell me the company that produces you and similar machines

who_made_you	may i know who made you

who_made_you	what created you

who_made_you	do you know who you came from

who_made_you	who is your originator

who_made_you	who is your creator

who_made_you	who is responsible for who you are

who_made_you	who crafted you

who_made_you	who was your programmer

who_made_you	the programmer who made you is who

who_made_you	who did the programming on you

who_made_you	what is the name of the person who created you

who_made_you	who built you

who_made_you	how were you made

who_made_you	how did you come to be you

who_made_you	please identify the name of the creator of this ai

who_made_you	this ai was made by what person or team

who_made_you	who is the creator of this ai

who_made_you	how was this ai created

who_made_you	tell me what company programmed you

who_made_you	the creator of your ai, what is their name

who_made_you	who made the ai

who_made_you	what is the name of the person who made the ai

who_made_you	can you tell me who made the ai

who_made_you	will you tell me who made the ai

who_made_you	would you tell me who made the ai

who_made_you	who makes the ai

who_made_you	ai who made you

who_made_you	who made you ai

who_made_you	can you tell me who created you

who_made_you	who is responsible for making you

who_made_you	who were you invented by

who_made_you	i'd like to know who made you

who_made_you	who brought you to life

who_made_you	who made you up

who_made_you	what company created you

who_made_you	who gave you life

who_made_you	what company sponsored you

who_made_you	which company programmed you

repeat	i didn't hear you please repeat

repeat	please repeat

repeat	i want you to repeat that

repeat	one more time please

repeat	i need you to repeat that

repeat	i need you to please repeat that

repeat	one more time for me please

repeat	i would like that repeated

repeat	just another time please

repeat	say it again please

repeat	i must have you repeat that

repeat	say it again

repeat	i need that repeated

repeat	just one more time

repeat	i want to have that repeated for me

repeat	i want that repeated

repeat	ai what was the question

repeat	ai i didn't hear you

repeat	ai please repeat

repeat	ai could you say that again

repeat	excuse me

